俗名	拉丁名	基因组大小M	单位或作者	文章标题	期刊名称	文章DOI	PUBMED号	发表年份	开始年份	分类	分组
(Iron walnut)	Juglans sigillata	594	Stevens KA et al.	Genomic Variation Among and Within Six Juglans Species.	"G3 (Bethesda). 2018 May 23, Epub ahead of print"	10.1534/g3.118.200030	29792315	2018	2018/5/23	rosid	1
(European hazelnut)	Corylus avellana	378	Lucas SJ et al.	A chromosome-scale genome assembly of European Hazel (Corylus avellana L.) reveals targets for crop improvement.	Plant J. 2020 Nov 29. Online ahead of print.	10.1111/tpj.15099	NA	2020	2020/11/29	rosid	1
(Dwarf birch)	Betula nana	450	Wang N et al.	Genome sequence of dwarf birch (Betula nana) and cross-species RAD markers.	Mol Ecol. 2013 Jun 22(11):3098-111. Epub 2012 Nov 21.	10.1111/mec.12131	23167599	2012	2012/11/21	rosid	1
(Monkeytail hornbeam)	Carpinus fangiana	397	Yang X et al.	"A Chromosome-Level Reference Genome of the Hornbeam, Carpinus Fangiana."	"Sci Data. 2020 Jan 21, 7(1): 24"	10.1038/s41597-020-0370-5	NA	2020	2020/1/21	rosid	1
(Central-Chinese hop-hornbeam)	Ostrya chinensis	386	Yang Y et al.	Genomic effects of population collapse in a critically endangered ironwood tree Ostrya rehderiana.	"Nat Commun. 2018 Dec 21, 9(1): 5449"	10.1038/s41467-018-07913-4	30575743	2018	2018/12/21	rosid	1
(Zhejiang hop-hornbeam)	Ostrya rehderiana	386	Yang Y et al.	Genomic effects of population collapse in a critically endangered ironwood tree Ostrya rehderiana.	"Nat Commun. 2018 Dec 21, 9(1): 5449"	10.1038/s41467-018-07913-4	30575743	2018	2018/12/21	rosid	1
(Silver birch)	Betula pendula	440	Salojaervi J et al.	Genome sequencing and population genomic analyses provide insights into the adaptive landscape of silver birch.	Nat Genet. 2017 Jun 49(6):904-912. Epub 2017 May 8.	10.1038/ng.3862	28481341	2017	2017/5/8	rosid	1
(Valley oak)	Quercus lobata	725	Sork VL et al.	First Draft Assembly and Annotation of the Genome of a California Endemic Oak Quercus lobata N茅e (Fagaceae).	G3 (Bethesda). 2016 Sep 12. Epub ahead of print	10.1534/g3.116.030411	27621377	2016	2016/9/12	rosid	1
(Cork oak)	Quercus suber	934	Ramos AM et al.	The draft genome sequence of cork oak.	"Sci Data. 2018 May 22, 5:180069"	10.1038/sdata.2018.69	29786699	2018	2018/5/22	rosid	1
(European oak)	Quercus robur	736	Plomion C et al.	Oak genome reveals facets of long lifespan.	"Nat. Plants 2018 Jun 18,  Epub ahead of print"	10.1038/s41477-018-0172-3		2018	2018/6/18	rosid	1
(Chinese chestnut)	Castanea mollissima	800	Xing Y et al.	Hybrid de novo genome assembly of Chinese chestnut (Castanea mollissima).	"Gigascience. 2019 Sep 1, 8(9)"	10.1093/gigascience/giz112	NA	2019	2019/9/12	rosid	1
(European Beech)	Fagus sylvatica	541	Mishra B et al.	A reference genome of the European Beech (Fagus sylvatica L.)	"GigaScience 2018, giy063"	10.1093/gigascience/giy063		2018	2018/5/28	rosid	1
(Maca)	Lepidium meyenii	751	Zhang J et al.	Genome of plant maca (Lepidium meyenii) illuminates genomic basis for high altitude adaptation in the central Andes.	Mol Plant. 2016 Jul 6 9(7):1066-77. Epub 2016 May 10.	10.1016/j.molp.2016.04.016	27174404	2016	2016/5/10	rosid	1
(Patchouli)	Pogostemon cablin	1570	He Y et al.	Survey of the genome of Pogostemon cablin provides insights into its evolutionary history and sesquiterpenoid biosynthesis.	Sci Rep. 2016 May 20 6:26405.	10.1038/srep26405	27198881	2016	2016/5/20	asterid	1
(Horse mint)	Mentha longifolia	400	Vining KJ et al.	Draft Genome Sequence of Mentha longifolia (L.) and Development of Resources for Mint Cultivar Improvement.	Mol Plant. 2017 Feb 13 10(2):323-339. Epub 2016 Nov 17.	10.1016/j.molp.2016.10.018	27867107	2016	2016/11/17	asterid	1
(Teak)	Tectona grandis	465	Yasodha R et al.	"Draft genome of a high value tropical timber tree, Teak (Tectona grandis L. f): insights into SSR diversity, phylogeny and conservation."	"DNA Res. 2018 May 24, Epub ahead of print"	10.1093/dnares/dsy013	29800113	2018	2018/5/24	asterid	1
(Pink trumpet tree)	Handroanthus impetiginosus	557	da Silva-Junior OB et al.	"Genome assembly of the Pink Ipe (Handroanthus impetiginosus, Bignoniaceae), a highly-valued ecologically keystone Neotropical timber forest tree"	"GigaScience 2017: gix125, epub ahead of print"	10.1093/gigascience/gix125	NA	2017	2017/12/13	asterid	1
(Spreading-leaved earth moss)	Physcomitrella patens	510	Rensing et al.	The Physcomitrella genome reveals evolutionary insights into the conquest of land by plants.	Science. 2008 Jan 4 319(5859):64-9. Epub 2007 Dec 13.	10.1126/science.1150646	18079367	2007	2007/12/13	charophyt	3
 	Calohypnum plumiforme	434	Mao L et al.	Genomic evidence for convergent evolution of gene clusters for momilactone biosynthesis in land plants.	"Proc Natl Acad Sci U S A. 2020 May 14, Epub ahead of print"	10.1073/pnas.1914373117	NA	2020	2020/5/14	charophyt	3
()	Anthoceros angustus	107	Zhang J et al.	The hornwort genome and early land plant evolution.	"Nat Plants. 2020 Feb 10, Epub ahead of print"	10.1038/s41477-019-0588-4	NA	2020	2020/2/10	charophyt	3
()	Anthoceros punctatus	140	Li FW et al.	Anthoceros genomes illuminate the origin of land plants and the unique biology of hornworts.	"Nat Plants. 2020 Mar, 6(3): 259-272"	10.1038/s41477-020-0618-2	NA	2020	2020/3/13	charophyt	3
(Field hornwort)	Anthoceros agrestis	130	Li FW et al.	Anthoceros genomes illuminate the origin of land plants and the unique biology of hornworts.	"Nat Plants. 2020 Mar, 6(3): 259-272"	10.1038/s41477-020-0618-2	NA	2020	2020/3/13	charophyt	3
(Common water moss)	Fontinalis antipyretica	385	Yu J et al.	"Draft genome of the aquatic moss Fontinalis antipyretica (Fontinalaceae, Bryophyta)."	"Gigabyte, 1, 2020"	10.46471/gigabyte.8	NA	2020	2020/11/16	charophyt	3
(Schreber's big red stem moss)	Pleurozium schreberi	320	Pederson ERA et al.	Genome Sequencing of Pleurozium schreberi: The Assembled and Annotated Draft Genome of a Pleurocarpous Feather Moss.	"G3 (Bethesda). 2019 Sep 4, 9(9): 2791-2797"	10.1534/g3.119.400279	NA	2019	2019/7/8	charophyt	3
(Umbrella liverwort)	Marchantia polymorpha	280	Bowman JL et al.	Insights into Land Plant Evolution Garnered from the Marchantia polymorpha Genome.	"Cell. 2017 Oct 5, 171(2): 287-304"	10.1016/j.cell.2017.09.030	28985561	2017	2017/10/5	charophyt	3
 	Marchantia inflexa	300	Marks RA et al.	Genome of the tropical plant Marchantia inflexa: implications for sex chromosome evolution and dehydration tolerance.	"Sci Rep. 2019 Jun 19, 9(1): 8722"	10.1038/s41598-019-45039-9	31217536	2019	2019/6/19	charophyt	3
(Peach)	Prunus persica	265	Verde et al.	"The high-quality draft genome of peach (Prunus persica) identifies unique patterns of genetic diversity, domestication and genome evolution."	Nat Genet. 2013 May 45(5):487-94. Epub 2013 Mar 24.	10.1038/ng.2586	23525075	2013	2013/3/24	rosid	1
(Common bean)	Phaseolus vulgaris	587	Schmutz et al.	A reference genome for common bean and genome-wide analysis of dual domestications	Nat Genet. 2014 Jul 46(7):707-13. Epub 2014 Jun 8.	10.1038/ng.3008	24908249	2014	2014/6/8	rosid	1
(Sickle senna)	Senna tora	547	Kang SH et al.	Genome-enabled discovery of anthraquinone biosynthesis in Senna tora. 	"Nat Commun. 2020 Nov 18, 11(1): 5875."	10.1038/s41467-020-19681-1	NA	2020	2020/11/18	rosid	1
(Common pea)	Pisum sativum	4430	Kreplak J et al.	A reference genome for pea provides insight into legume genome evolution.	"Nat Genet. 2019 Sep, 51(9):1411-1422 Epub 2019 Sep 2."	10.1038/s41588-019-0480-1	NA	2019	2019/9/2	rosid	1
 	Ammopiptanthus nanus	890	Gao F et al.	"Long-read sequencing and de novo genome assembly of Ammopiptanthus nanus, a desert shrub."	"GigaScience 2018, giy074"	10.1093/gigascience/giy074	NA	2018	2018/6/18	rosid	1
(Chinese hog-peanut)	Amphicarpaea edgeworthii	320	Liu Y et al.	Insights into amphicarpy from the compact genome of the legume Amphicarpaea edgeworthii.	Plant Biotechnol J. 2020 Nov 25. Online ahead of print.	10.1111/pbi.13520	NA	2020	2020/11/25	rosid	1
"(Cultivated peanut, AABB-genome)"	Arachis hypogaea	2700	Chen X et al.	"Sequencing of Cultivated Peanut, Arachis hypogaea, Yields Insights into Genome Evolution and Oil Improvement."	Mol Plant. 2019 Mar 19 epub ahead of print	10.1016/j.molp.2019.03.005	30902685	2019	2019/3/19	rosid	1
"(Wild peanut, peanut B-genome)"	Arachis ipaensis	1560	Bertioli DJ et al.	"The genome sequences of Arachis duranensis and Arachis ipaensis, the diploid ancestors of cultivated peanut."	Nat Genet. 2016 Apr 48(4):438-46. Epub 2016 Feb 22.	10.1038/ng.3517	26901068	2016	2016/2/22	rosid	1
"(Wild peanut, peanut A-genome)"	Arachis duranensis	1250	Bertioli DJ et al.	"The genome sequences of Arachis duranensis and Arachis ipaensis, the diploid ancestors of cultivated peanut."	Nat Genet. 2016 Apr 48(4):438-46. Epub 2016 Feb 22.	10.1038/ng.3517	26901068	2016	2016/2/22	rosid	1
(Wild peanut)	Arachis monticola	2700	Yin D et al.	Genome of an allotetraploid wild peanut Arachis monticola: a de novo assembly.	"Gigascience. 2018 Jun 1, 7(6)"	10.1093/gigascience/giy066	29931126	2018	2018/6/1	rosid	1
(Castor bean)	Ricinus communis	320	Chan et al.	Draft genome sequence of the oilseed species Ricinus communis.	Nat Biotechnol. 2010 Sep 28(9):951-6. Epub 2010 Aug 22.	10.1038/nbt.1674	20729833	2010	2010/8/22	rosid	1
(Annual mercury)	Mercurialis annua	640	Veltsos P et al.	Early Sex-chromosome Evolution in the Diploid Dioecious Plant Mercurialis annua.	"Genetics. 2019 May 21, Epub ahead of print"	10.1534/genetics.119.302045	31113811	2019	2019/5/21	rosid	1
(Sorghum)	Sorghum bicolor	818	Paterson et al.	The Sorghum bicolor genome and the diversification of grasses.	Nature. 2009 Jan 29 457(7229):551-6.	10.1038/nature07723	19189423	2009	2009/1/29	monocotyledon	2
(Sugarcane)	Saccharum spp. R570	10000 (monoploid ~850)	Garsmeur O et al.	A mosaic monoploid reference sequence for the highly complex genome of sugarcane.	"Nat Commun. 2018 Jul 6, 9(1): 2638"	10.1038/s41467-018-05051-5	29980662	2018	2018/7/6	monocotyledon	2
(Wild sugarcane)	Saccharum spontaneum	3360	Zhang J et al.	Allele-defined genome of the autopolyploid sugarcane Saccharum spontaneum L.	"Nat Genet. 2018 Oct 08, Epub ahead of print"	10.1038/s41588-018-0237-2		2018	2018/10/8	monocotyledon	2
(Foxtail millet)	Setaria italica	490	Zhang et al.	Genome sequence of foxtail millet (Setaria italica) provides insights into grass evolution and biofuel potential.	Nat Biotechnol. 2012 May 13 30(6):549-54.	10.1038/nbt.2195	22580950	2012	2012/5/13	monocotyledon	2
(Wild foxtail millet)	Setaria viridis	400	Thielen PM et al.	Reference Genome for the Highly Transformable Setaria viridis ME034V.	"G3 (Bethesda). 2020 Jul 21: g3.401345.2020, Online ahead of print"	10.1534/g3.120.401345	NA	2020	2020/7/21	monocotyledon	2
(Finger millet)	Eleusine coracana	1460	Hittalmani S et al.	Genome and Transcriptome sequence of Finger millet (Eleusine coracana (L.) Gaertn.) provides insights into drought tolerance and nutraceutical properties.	BMC Genomics. 2017 Jun 15 18(1):465.	10.1186/s12864-017-3850-z	28619070	2017	2017/6/15	monocotyledon	2
(Goosegrass)	Eleusine indica	584	Zhang H et al.	Development of a goosegrass (Eleusine indica) draft genome and application to weed science research.	"Pest Manag Sci. 2019 Mar 8, Epub ahead of print"	10.1002/ps.5389	30851005	2019	2019/3/8	monocotyledon	2
(Spikemoss)	Selaginella moellendorffii	213	Banks et al.	The Selaginella genome identifies genetic changes associated with the evolution of vascular plants.	Science. 2011 May 20 332(6032):960-3. Epub 2011 May 5.	10.1126/science.1203810	21551031	2011	2011/5/5	charophyt	3
(Little club moss)	Selaginella tamariscina	~130	Xu Z et al.	Genome analysis of the ancient tracheophyte Selaginella tamariscina reveals evolutionary features relevant to the acquisition of desiccation tolerance.	"Mol Plant. 2018 May 16, Epub ahead of print"	10.1016/j.molp.2018.05.003	29777775	2018	2018/5/16	charophyt	3
(False rose of Jericho)	Selaginella lepidophylla	109	VanBuren R et al.	Extreme haplotype variation in the desiccation-tolerant clubmoss Selaginella lepidophylla.	"Nat Commun. 2018 Jan 2, 9(1):13"	10.1038/s41467-017-02546-5	29296019	2018	2018/1/2	charophyt	3
(Cultivated potato)	Solanum tuberosum	850	van Lieshout N et al.	"Solyntus, the New Highly Contiguous Reference Genome for Potato (Solanum tuberosum)."	"G3 (Bethesda). 2020 Aug 5, Online ahead of print."	10.1534/g3.120.401550	NA	2020	2020/8/5	asterid	1
(Phureja)	Solanum phureja	844	Xu et al.	Genome sequence and analysis of the tuber crop potato.	Nature. 2011 Jul 10 475(7355):189-95.	10.1038/nature10158	21743474	2011	2011/7/10	asterid	1
(Cocoa)	Theobroma cacao	430	Argout et al.	The genome of Theobroma cacao.	Nat Genet. 2011 Feb 43(2):101-8. Epub 2010 Dec 26.	10.1038/ng.736	21186351	2010	2010/12/26	rosid	1
(Treacle mustard)	Erysimum cheiranthoides	205	Zust T et al.	"Independent evolution of ancestral and novel defenses in a genus of toxic plants (Erysimum, Brassicaceae)."	"Elife. 2020 Apr 7, 9: e51712"	10.7554/eLife.51712	NA	2020	2020/4/7	rosid	1
(Salt cress)	Eutrema salsugineum	240	Yang R et al.	The Reference Genome of the Halophytic Plant Eutrema salsugineum.	Front Plant Sci. 2013 Mar 21 4:46. eCollection 2013.	10.3389/fpls.2013.00046	23518688	2013	2013/3/21	rosid	1
 	Eutrema heterophyllum	405	Guo X et al.	The genomes of two Eutrema species provide insight into plant adaptation to high altitudes.	"DNA Res. 2018 Jan 30, epub ahead of print"	10.1093/dnares/dsy003	29394339	2018	2018/1/30	rosid	1
 	Eutrema yunnanense	423	Guo X et al.	The genomes of two Eutrema species provide insight into plant adaptation to high altitudes.	"DNA Res. 2018 Jan 30, epub ahead of print"	10.1093/dnares/dsy003	29394339	2018	2018/1/30	rosid	1
(Anatolian cress)	Thellungiella parvula	140	Dassanayake et al.	The genome of the extremophile crucifer Thellungiella parvula.	Nat Genet. 2011 Aug 7 43(9):913-8.	10.1038/ng.889	21822265	2011	2011/8/7	rosid	1
"(Red wild einkorn, wheat A-genome)"	Triticum urartu	4940	Ling et al.	Draft genome of the wheat A-genome progenitor Triticum urartu.	Nature. 2013 Apr 4 496(7443):87-90. Epub 2013 Mar 24.	10.1038/nature11997	23535596	2013	2013/3/24	monocotyledon	2
"(Wild emmer, AABB-genome)"	Triticum turgidum	12000	Avni R et al.	Wild emmer genome architecture and diversity elucidate wheat evolution and domestication.	"Science. 2017 Jul 7, 357(6346): 93-97"	10.1126/science.aan0032	23535596	2017	2017/7/7	monocotyledon	2
(Rye)	Secale cereale	7900	Bauer E et al.	Towards a whole-genome sequence for rye (Secale cereale L.).	Plant J. 2017 Mar 89(5):853-869. Epub 2017 Feb 8.	10.1111/tpj.13436	27888547	2017	2017/2/8	monocotyledon	2
(Bladderwort)	Utricularia gibba	77	Ibarra-Laclette et al.	Architecture and evolution of a minute plant genome.	Nature. 2013 Jun 6 498(7452):94-8. Epub 2013 May 12.	10.1038/nature12132	23665961	2013	2013/5/12	asterid	1
(Bladderwort)	Utricularia reniformis	316	Silva SR et al.	The Terrestrial Carnivorous Plant Utricularia reniformis Sheds Light on Environmental and Life-Form Genome Plasticity.	"Int J Mol Sci. 2019 Dec 18, 21(1)"	10.3390/ijms21010003	NA	2019	2019/12/18	asterid	1
(Intermediate duckweed)	Spirodela intermedia	160	Hoang PTN et al.	"Chromosome-scale genome assembly for the duckweed Spirodela intermedia, integrating cytogenetic maps, PacBio and Oxford Nanopore libraries."	"Sci Rep. 10, 19230 (2020)."	10.1038/s41598-020-75728-9	NA	2020	2020/11/5	monocotyledon	2
(Greater duckweed)	Spirodela polyrhiza	158	Wang et al.	The Spirodela polyrhiza genome reveals insights into its neotenous reduction fast growth and aquatic lifestyle.	Nat Commun. 2014 5:3311.	10.1038/ncomms4311	24548928	2014	2014/2/19	monocotyledon	2
(Common eelgrass)	Zostera marina	238	Olsen JL et al.	The genome of the seagrass Zostera marina reveals angiosperm adaptation to the sea.	Nature. 2016 Feb 18 530(7590):331-5. Epub 2016 Jan 27.	10.1038/nature16548	26814964	2016	2016/1/27	monocotyledon	2
(Dwarf grass-wrack)	Zostera muelleri	890	Lee HT et al.	The genome of a southern hemisphere seagrass species (Zostera muelleri)	Plant Physiol. 2016 Sep 172(1):272-83. Epub 2016 Jul 3.	10.1104/pp.16.00868	27373688	2016	2016/7/3	monocotyledon	2
(Common duckweed)	Lemna minor	481	Van Hoeck A et al.	The first draft genome of the aquatic model plant Lemna minor opens the route for future stress physiology research and biotechnological applications.	Biotechnol Biofuels. 2015 Nov 25 8:188. eCollection 2015.	10.1186/s13068-015-0381-1	26609323	2015	2015/11/25	monocotyledon	2
(Southern watermeal)	Wolffia australiana	357	Michael TP et al.	 Genome and time-of-day transcriptome of Wolffia australiana link morphological minimization with gene loss and less growth control.	Genome Res. 2020 Dec 23: gr.266429.120. Online ahead of print.	10.1101/gr.266429.120	NA	2020	2020/12/23	monocotyledon	2
(Loblolly pine)	Pinus taeda	21600	Neale et al.	Decoding the massive genome of loblolly pine using haploid DNA and novel assembly strategies.	Genome Biol. 2014 Mar 4 15(3):R59.	10.1186/gb-2014-15-3-r59	24647006	2014	2014/3/20	coniferophyt	3
(Sugar pine)	Pinus lambertiana	31000	Stevens KA et al.	Sequence of the Sugar Pine Megagenome	Genetics. 2016 Dec 204(4):1613-1626. Epub 2016 Oct 28.	10.1534/genetics.116.193227	27794028	2016	2016/12/1	coniferophyt	3
(Sacred lotus)	Nelumbo nucifera	929	Ming et al.	Genome of the long-living sacred lotus (Nelumbo nucifera Gaertn.).	Genome Biol. 2013 May 10 14(5):R41.	10.1186/gb-2013-14-5-r41	23663246	2013	2013/5/10	stemeudicotyledon	1
(Macadamia nut)	Macadamia integrifolia	650	Nock CJ et al.	Genome and transcriptome sequencing characterises the gene space of Macadamia integrifolia (Proteaceae).	BMC Genomics. 2016 Nov 17 17(1):937.	10.1186/s12864-016-3272-3	27855648	2016	2016/11/17	stemeudicotyledon	1
(Plume poppy)	Macleaya cordata	540	Liu X et al.	The genome of the medicinal plant Macleaya cordata provides new insights into benzylisoquinoline alkaloids metabolism.	Mol Plant. 2017 Jul 5 10(7):975-989. Epub 2017 May 26.	10.1016/j.molp.2017.05.007	28552780	2017	2017/5/25	stemeudicotyledon	1
(Three-leaf akebia)	Akebia trifoliata	650	Zhang Z et al.	Genome survey sequencing and genetic diversity of cultivated Akebia trifoliata assessed via phenotypes and SSR markers.	Mol Biol Rep. 2021 Jan 5. Online ahead of print.	10.1007/s11033-020-06042-w	NA	2021	2021/1/5	stemeudicotyledon	1
(Opium poppy)	Papaver somniferum	2870	Guo L et al.	The opium poppy genome and morphinan production.	"Science. 2018 Aug 30, Epub ahead of print"	10.1126/science.aat4096	30166436	2018	2018/8/30	stemeudicotyledon	1
(Colorado blue columbine)	Aquilegia coerulea	307	Filiault DL et al.	The Aquilegia genome provides insight into adaptive radiation and reveals an extraordinarily polymorphic chromosome with a unique history.	"Elife. 2018 Oct 16,7"	10.7554/eLife.36426	30325307	2018	2018/10/16	stemeudicotyledon	1
(Oriental columbine)	Aquilegia oxysepala	350	Xie J et al.	A chromosome-scale reference genome of Aquilegia oxysepala var. kansuensis.	"Hortic Res. 7, 113 (2020)"	10.1038/s41438-020-0328-y	NA	2020	2020/7/1	stemeudicotyledon	1
 	Kingdonia uniflora	1170	Sun Y et al.	"Genome sequencing of the endangered Kingdonia uniflora (Circaeasteraceae, Ranunculales) reveals potential mechanisms of evolutionary specialization."	"iScience. 2020 May 1, 23(5): 101124, Epub ahead of print"	10.1016/j.isci.2020.101124	NA	2020	2020/5/22	stemeudicotyledon	1
(Chinese agarwood)	Aquilaria sinensis	773	Ding X et al.	Genome sequence of the agarwood tree Aquilaria sinensis (Lour.) Spreng: the first chromosome-level draft genome in the Thymelaeceae family.	"Gigascience. 2020 Mar 1, 9(3)"	10.1093/gigascience/giaa013	NA	2020	2020/3/2	rosid	1
(California poppy)	Eschscholzia californica	502	Hori K et al.	Mining of the uncharacterized cytochrome P450 genes involved in alkaloid biosynthesis in California poppy using a draft genome sequence	"Plant Cell Physiol. 2017 Dec 29, pcx210, epub ahead of print"	10.1093/pcp/pcx210		2017	2017/12/29	stemeudicotyledon	1
()	Tetracentron sinense	1120	Liu PL et al.	 The Tetracentron genome provides insight into the early evolution of eudicots and the formation of vessel elements.	"Genome Biol. 2020 Dec 2, 21(1): 291."	10.1186/s13059-020-02198-7	NA	2020	2020/12/2	stemeudicotyledon	1
(Wheel tree)	Trochodendron aralioides	1758	Strijk JS et al.	"Trochodendron aralioides, the first chromosome-level draft genome in Trochodendrales and a valuable resource for basal eudicot research."	"Gigascience. 2019 Nov 1, 8(11)"	10.1093/gigascience/giz136	NA	2019	2019/11/18	stemeudicotyledon	1
(Jojoba)	Simmondsia chinensis	1003	Sturtevant D et al.	The genome of jojoba (Simmondsia chinensis): A taxonomically isolated species that directs wax ester accumulation in its seeds.	"Sci Adv. 2020 Mar 11, 6(11)"	10.1126/sciadv.aay3240	NA	2020	2020/3/11	asterid	1
(Sugar beet)	Beta vulgaris	731	Dohm et al.	The genome of the recently domesticated crop plant sugar beet (Beta vulgaris).	Nature. 2014 Jan 23 505(7484):546-9. Epub 2013 Dec 18.	10.1038/nature12817	24352233	2013	2013/12/18	asterid	1
(Madeiran wild beet)	Beta patula	650	Del Rio AR et al.	Genomes of the wild beets Beta patula and Beta vulgaris ssp. maritima.	"Plant J. 2019 May 18, Epub ahead of print"	10.1111/tpj.14413	31104348	2019	2019/5/18	asterid	1
(Garden orach)	Atriplex hortensis	1170	Hunt SP et al.	A Chromosome-Scale Assembly of the Garden Orach (Atriplex hortensis L.) Genome Using Oxford Nanopore Sequencing.	Front Plant Sci. 25 May 2020	10.3389/fpls.2020.00624	NA	2020	2020/5/25	asterid	1
(Summer cypress)	Kochia scoparia	1090	Patterson EL et al.	The Draft Genome of Kochia scoparia and the Mechanism of Glyphosate Resistance via Transposon-Mediated EPSPS Tandem Gene Duplication.	"Genome Biol Evol. 2019 Sep 13, Epub ahead of print"	10.1093/gbe/evz198	NA	2019	2019/9/13	asterid	1
 	Suaeda aralocaspica	467	Wang L et al.	"A draft genome assembly of halophyte Suaeda aralocaspica, a plant that performs C4 photosynthesis within individual cells."	"Gigascience. 2019 Sep 1, 8(9)"	10.1093/gigascience/giz116	NA	2019	2019/9/12	asterid	1
(American pokeweed)	Phytolacca americana	1300	Neller KCM et al.	De novo assembly of the pokeweed genome provides insight into pokeweed antiviral protein (PAP) gene expression.	"Front Plant Sci. 2019 Aug, Epub ahead of print"	10.3389/fpls.2019.01002	NA	2019	2019/8/6	asterid	1
(Saguaro cactus)	Carnegiea gigantea	1300	Copetti D et al.	Extensive gene tree discordance and hemiplasy shaped the genomes of North American columnar cacti	"Proc Natl Acad Sci U S A. 2017 Oct 23, Epub ahead of print"	10.1073/pnas.1706367114		2017	2017/10/23	asterid	1
(Tibetan Rhodiola)	Rhodiola crenulata	420	Fu Y et al.	"Draft genome sequence of the Tibetan medicinal herb, Rhodiola crenulata."	Gigascience. 2017 Jun 1 6(6):1-5.	10.1093/gigascience/gix033	28475810	2017	2017/5/5	rosid	1
(Lavender-scallops)	Kalanchoe fedtschenkoi	256	Yang X et al.	The Kalanchoe genome provides insights into convergent evolution and building blocks of crassulacean acid metabolism	"Nat Commun. 2017 Dec 1, 8(1): 1899"	10.1038/s41467-017-01491-7		2017	2017/12/1	rosid	1
(White stonecrop)	Sedum album	611	Wai CM et al.	Time of day and network reprogramming during drought induced CAM photosynthesis in Sedum album.	"PLoS Genet. 2019 Jun 14, 15(6): e1008209, Epub ahead of print"	10.1371/journal.pgen.1008209	31199791	2019	2019/6/14	rosid	1
(Common buckwheat)	Fagopyrum esculentum	1300	Yasui Y et al.	Assembly of the draft genome of buckwheat and its applications in identifying agronomically useful genes.	DNA Res. 2016 Jun 23(3):215-24. Epub 2016 Apr 2.	10.1093/dnares/dsw012	27037832	2016	2016/4/2	asterid	1
(Tartarian buckwheat)	Fagopyrum tataricum	490	Zhang L et al.	The Tartary Buckwheat Genome Provides Insights into Rutin Biosynthesis and Abiotic Stress Tolerance.	Mol Plant. 2017 Sep 12 10(9):1224-1237. Epub 2017 Sep 1.	10.1016/j.molp.2017.08.013	28866080	2017	2017/8/30	asterid	1
(Japanese knotweed)	Polygonum cuspidatum	2600	Zhang Y et al.	Assembly and Annotation of a Draft Genome of the Medicinal Plant Polygonum cuspidatum.	"Front. Plant Sci., 2019 Oct 18, epub ahead"	10.3389/fpls.2019.01274	NA	2019	2019/10/18	asterid	1
(Heart-wing sorrel)	Rumex hastatulus	1790	Rifkin JL et al.	Widespread Recombination Suppression Facilitates Plant Sex Chromosome Evolution. 	Mol Biol Evol. 2020 Oct 23: msaa271. Online ahead of print.	10.1093/molbev/msaa271	NA	2020	2020/10/23	asterid	1
(Carrot)	Daucus carota	473	Iorizzo M et al.	A high-quality carrot genome assembly provides new insights into carotenoid accumulation and asterid genome evolution.	Nat Genet. 2016 Jun 48(6):657-66. Epub 2016 May 9.	10.1038/ng.3565	27158781	2016	2016/5/9	asterid	1
(Celery)	Apium graveolens	3180	Li M et al.	"The genome sequence of celery (Apium graveolens L.), an important leaf vegetable crop rich in apigenin in the Apiaceae family."	"Hortic Res 7, 9, 2020 Jan 06, Epub ahead of print"	10.1038/s41438-019-0235-2	NA	2020	2020/1/6	asterid	1
(Coriander)	Coriandrum sativum	2130	Song X et al.	Deciphering the High Quality Genome Sequence of Coriander that Causes Controversial Feelings.	"Plant Biotechnol J. 2019 Dec 4, Epub ahead of print"	10.1111/pbi.13310	NA	2019	2019/12/4	asterid	1
(Sanchi ginseng)	Panax notoginseng	2310	Chen W et al.	Whole-genome Sequencing and Analysis of the Chinese herbal Plant Panax Notoginseng	Mol Plant. 2017 Jun 5 10(6):899-902. Epub 2017 Mar 15.	10.1016/j.molp.2017.02.010	28315474	2017	2017/3/15	asterid	1
(Asian ginseng)	Panax ginseng	3500	Jiang X et al.	Panax ginseng genome examination for ginsenoside biosynthesis	GigaScience 2017: gix093	10.1093/gigascience/gix093		2017	2017/10/5	asterid	1
(Carnation)	Dianthus caryophyllus	622	Yagi et al.	Sequence Analysis of the Genome of Carnation (Dianthus caryophyllus L.).	DNA Res. 2014 Jun 21(3):231-41. Epub 2013 Dec 17.	10.1093/dnares/dst053	24344172	2013	2013/12/17	asterid	1
(Cape sundew)	Drosera capensis	293	Butts CT et al.	Novel proteases from the genome of the carnivorous plant Drosera capensis: structural prediction and comparative analysis	Proteins. 2016 Oct 84(10):1517-33. Epub 2016 Jul 13.	10.1002/prot.25095	27353064	2016	2016/6/29	asterid	1
(Spoon-leaved sundew)	Drosera spatulata	293	Palfalvi G et al.	Genomes of the Venus Flytrap and Close Relatives Unveil the Roots of Plant Carnivory.	"Curr Biol. 2020 May 11, Epub ahead of print"	10.1016/j.cub.2020.04.051	NA	2020	2020/5/11	asterid	1
(Venus flytrap)	Dionaea muscipula	3187	Palfalvi G et al.	Genomes of the Venus Flytrap and Close Relatives Unveil the Roots of Plant Carnivory.	"Curr Biol. 2020 May 11, Epub ahead of print"	10.1016/j.cub.2020.04.051	NA	2020	2020/5/11	asterid	1
